country,state,name,lat,lng,timezone,altitude
AF,,Herāt,34.34817,62.19967,Asia/Kabul,927
AF,,Ghormach,35.73062,63.78264,Asia/Kabul,659
AF,,Ghazni,33.55391,68.42096,Asia/Kabul,2179
AF,,Gereshk,31.82089,64.57005,Asia/Kabul,830
AF,,Gardez,33.59744,69.22592,Asia/Kabul,2308
AF,,Fayzabad,37.11664,70.58002,Asia/Kabul,1210
AF,,Farah,32.37451,62.11638,Asia/Kabul,662
AF,,Eslam Qaleh,34.66667,61.06667,Asia/Kabul,726
AF,,Charikar,35.01361,69.17139,Asia/Kabul,1554
AF,,Baraki Barak,33.96744,68.9492,Asia/Kabul,1940
AF,,Bāmyān,34.82156,67.82734,Asia/Kabul,2550
AF,,Balkh,36.75635,66.8972,Asia/Kabul,348
AF,,Baghlān,36.13068,68.70829,Asia/Kabul,531
AF,,Ārt Khwājah,37.08571,69.47958,Asia/Kabul,481
AF,,Āsmār,35.03333,71.35809,Asia/Kabul,913
AF,,Asadābād,34.87311,71.14697,Asia/Kabul,837
AF,,Andkhōy,36.95293,65.12376,Asia/Kabul,306
AF,,Bāzārak,35.31292,69.51519,Asia/Kabul,1965
AF,,Markaz-e Woluswalī-ye Āchīn,34.12583,70.70778,Asia/Kabul,972
AG,,Saint John’s,17.12096,-61.84329,America/Antigua,12
AI,,The Valley,18.21704,-63.05783,America/Anguilla,19
AL,,Sarandë,39.87534,20.00477,Europe/Tirane,23
AL,,Pogradec,40.9025,20.6525,Europe/Tirane,702
AL,,Kukës,42.07694,20.42194,Europe/Tirane,351
AL,,Korçë,40.61861,20.78083,Europe/Tirane,869
AL,,Gjirokastër,40.07583,20.13889,Europe/Tirane,286
AL,,Elbasan,41.1125,20.08222,Europe/Tirane,128
AL,,Burrel,41.61028,20.00889,Europe/Tirane,315
AL,,Vlorë,40.4686,19.48318,Europe/Tirane,1
AL,,Tirana,41.3275,19.81889,Europe/Tirane,113
AL,,Shkodër,42.06828,19.51258,Europe/Tirane,12
AL,,Patos Fshat,40.64278,19.65083,Europe/Tirane,157
AL,,Patos,40.68333,19.61944,Europe/Tirane,61
AL,,Lushnjë,40.94194,19.705,Europe/Tirane,22
AL,,Lezhë,41.78361,19.64361,Europe/Tirane,7
AL,,Laç,41.63556,19.71306,Europe/Tirane,33
AL,,Krujë,41.50917,19.79278,Europe/Tirane,509
AL,,Kavajë,41.18556,19.55694,Europe/Tirane,19
AL,,Fier-Çifçi,40.71667,19.56667,Europe/Tirane,17
AL,,Fier,40.72389,19.55611,Europe/Tirane,20
AL,,Durrës,41.32355,19.45469,Europe/Tirane,0
AL,,Berat,40.70583,19.95222,Europe/Tirane,66
AM,,Kapan,39.20755,46.40576,Asia/Yerevan,774
AM,,Goris,39.51111,46.34168,Asia/Yerevan,1351
AM,,Artashat,39.95484,44.54874,Asia/Yerevan,834
AM,,Ararat,39.85494,44.6947,Asia/Yerevan,844
AM,,Yerevan,40.18111,44.51361,Asia/Yerevan,994
AM,,Vagharshapat,40.16557,44.29462,Asia/Yerevan,877
AM,,Sevan,40.5473,44.94171,Asia/Yerevan,1934
AM,,Masis,40.06595,44.43669,Asia/Yerevan,838
AM,,Vanadzor,40.80456,44.4939,Asia/Yerevan,1344
AM,,Gavar,40.35398,45.12386,Asia/Yerevan,1953
AM,,Ijevan,40.87877,45.14851,Asia/Yerevan,677
AM,,Hrazdan,40.5169,44.75591,Asia/Yerevan,1702
AM,,Armavir,40.15446,44.03815,Asia/Yerevan,870
